nb_cat train valid random
2 0.6269757639620653 0.6203931203931204 0.5
3 0.5908552074513125 0.594391785150079 0.3333333333333333
4 0.43026779133568094 0.44317096466093603 0.25
5 0.3503031918438062 0.35669878769039476 0.2
6 0.3048299082781841 0.3073382074194422 0.16666666666666666
7 0.2617329418205345 0.266016713091922 0.14285714285714285
